GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Controller for Entando Cluster Infrastructure Deployments,org.entando.kubernetes.controller.clusterinfrastructure,InfrastructureDeployableBase,0,25,0,0,0,7,0,5,0,5
Entando K8S Controller for Entando Cluster Infrastructure Deployments,org.entando.kubernetes.controller.clusterinfrastructure,EntandoK8SServiceDeployable,0,45,0,0,0,8,0,6,0,6
Entando K8S Controller for Entando Cluster Infrastructure Deployments,org.entando.kubernetes.controller.clusterinfrastructure,EntandoK8SServiceDeployableContainer,86,115,1,1,4,25,3,17,2,17
Entando K8S Controller for Entando Cluster Infrastructure Deployments,org.entando.kubernetes.controller.clusterinfrastructure,EntandoClusterInfrastructureController,9,107,1,1,4,29,3,5,2,5
Entando K8S Controller for Entando Cluster Infrastructure Deployments,org.entando.kubernetes.controller.clusterinfrastructure,ClusterInfrastructureDeploymentResult,0,6,0,0,0,2,0,1,0,1
