GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,DefaultSimpleEntandoOperations,24,53,0,0,3,14,2,5,2,5
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,EntandoOperatorMatcher,4,185,1,19,1,32,1,22,0,13
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,EntandoOperatorMatcher.EntandoOperatorMatcherProperty,0,37,0,0,0,7,0,3,0,3
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,EntandoControllerCoordinator,10,152,1,5,1,35,1,10,0,8
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,EntandoResourceObserver,86,396,14,42,15,89,16,37,5,20
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,SimpleEntandoOperations,0,28,0,0,0,11,0,2,0,2
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,Liveness,28,33,0,0,5,7,3,5,3,5
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,DefaultSimpleEntandoOperationsRegistry,0,25,0,0,0,5,0,2,0,2
