GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,EntandoKeycloakHelper,0,43,0,6,0,10,0,5,0,2
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,KeycloakDeployable,0,100,0,2,0,20,0,12,0,11
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,KeycloakDeployableContainer,17,414,1,11,0,71,2,26,1,21
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,EntandoKeycloakServerController,11,242,2,4,5,52,4,11,2,10
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,KeycloakServiceDeploymentResult,0,6,0,0,0,2,0,1,0,1
