GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Controller for Entando Plugin Deployments,org.entando.kubernetes.controller.plugin,EntandoPluginDeploymentResult,0,6,0,0,0,2,0,1,0,1
Entando K8S Controller for Entando Plugin Deployments,org.entando.kubernetes.controller.plugin,EntandoPluginDeployableContainer,0,211,0,0,0,39,0,20,0,20
Entando K8S Controller for Entando Plugin Deployments,org.entando.kubernetes.controller.plugin,EntandoPluginServerDeployable,0,88,0,4,0,17,0,12,0,10
Entando K8S Controller for Entando Plugin Deployments,org.entando.kubernetes.controller.plugin,EntandoPluginSidecarDeployableContainer,48,79,0,0,1,20,1,14,1,14
Entando K8S Controller for Entando Plugin Deployments,org.entando.kubernetes.controller.plugin,EntandoPluginController,9,64,0,0,4,14,2,3,2,3
